stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id
30,U01698,Sarai Pipal Thala,28.7206,77.1671,30.0
31,U01747,Adarsh Nagar Metro Station,28.717467,77.169917,31.0
32,U01781,New Sabzi Mandi,28.714415,77.172422,32.0
241,U01761,Adarsh Nagar / Bharola Village,28.715917,77.170867,241.0
242,U01699,Sarai Peepal Thala,28.720417,77.166983,242.0
245,DC3600,Jahangir Puri Metro Station,28.7273,77.161583,245.0
381,U01725,Shalimar Bagh (Ring Road),28.7033,77.1689,381.0
382,U01667,Ashok Vihar Crossing,28.701996,77.165407,382.0
383,U01613,Shalimar Bagh Richi Rich,28.70135,77.16376,383.0
384,U01576,Prem Bari Pul,28.6999,77.1583,384.0
385,U01546,Punjab Kesari (Subhash Palace Depot),28.696,77.1558,385.0
528,U01543,Shadipur Depot,28.653117,77.1555,528.0
529,U01472,Moti Nagar Industrial Area,28.657317,77.1485,529.0
530,U01399,Karampura Terminal,28.661,77.142383,530.0
532,U01337,Punjabi Bagh Terminal,28.66935,77.1374,532.0
533,U01463,Britannia Chowk Shakurpur,28.684284,77.147583,533.0
534,U01488,Telephone Exchange Shakurpur,28.686484000000004,77.15093399999998,534.0
535,U01521,Wazirpur DTC Depot Ring Road,28.691926,77.153426,535.0
724,U01436,Loha Mandi,28.641383,77.145217,724.0
725,U01494,Bentax,28.644717,77.147667,725.0
726,U01466,Naraina Depot,28.64905,77.1513,726.0
727,U01520,Pandav Nagar,28.650051,77.153678,727.0
728,U01549,Shadipur Colony,28.6516,77.1561,728.0
1107,U01524,Pandav Nagar,28.650133,77.15335,1107.0
1245,U99882,Jahangirpuri GT Road,28.725467,77.16283299999998,1245.0
1436,U01402,Shakurpur Shiv Mandir,28.680273,77.142183,1436.0
1437,U01540,Wazirpur Depot / Subhash Place Depot,28.69485,77.15485,1437.0
1438,U01574,Prem Bari Pull,28.700267,77.158283,1438.0
1439,U01610,Shalimar Bagh,28.701283,77.161967,1439.0
1440,U01655,Ashok Vihar Xing,28.7021,77.16435,1440.0
1441,U01720,Shalimar Bagh,28.70377,77.169044,1441.0
1460,U01469,Inder Puri JJ Colony,28.6336,77.1479,1460.0
1461,U01456,Inder Puri (Krishi Kunj),28.6372,77.1466,1461.0
1769,U01418,Karampura Terminal,28.660241,77.144044,1769.0
1771,U01473,Moti Nagar Industrial Area,28.6575,77.1489,1771.0
1772,U01542,Shadipur Depot,28.6536,77.1553,1772.0
1857,U01375,New Moti Bagh B Block,28.66365,77.140683,1857.0
2010,U01528WD,Wazirpur Depot,28.692033,77.153767,2010.0
2011,U01487,Telephone Exchange,28.6861,77.15100000000002,2011.0
2012,U01478,Britannia,28.6849,77.1492,2012.0
2013,U01411,Shakurpur JJColony,28.6809666666667,77.1432,2013.0
2216,U99833,Punjabi Bagh Terminal,28.6758,77.1411,2216.0
2993,U01554,Shadipur Colony,28.6517,77.1565,2993.0
2994,U01497,Naraina Depot,28.6487,77.1512,2994.0
2995,U01465,Bentex,28.6442,77.1477,2995.0
3074,U01458,Inder Puri Krishi Kunj,28.637034000000003,77.146835,3074.0
3075,U01475,Inder Puri JJ Colony,28.632,77.1491,3075.0
3295,U01658,Jahangirpuri A-Block,28.7286,77.1648,3295.0
3296,U01711,Jahangirpuri K Block,28.7304,77.168,3296.0
3307,DC3917,Loha Mandi,28.640183,77.1455,3307.0
3631,U01681,Jahangirpuri B Block,28.7293,77.1662,3631.0
3632,U01657,Jahangirpuri A-Block,28.7285,77.1648,3632.0
3654,U01763,E Block Jahangir Puri Terminal,28.7330833333333,77.17265,3654.0
4191,U01807,Sabji Mandi Azadpur,28.7143666666667,77.1722,4191.0
15018,,Jahangir Puri Crossing,28.727190000000004,77.16186,
17099,,JahangirPuri B Block,28.72928476205728,77.16604560613634,
17100,,Jahangirpuri K Block,28.7305595549191,77.16818064451219,
